,revenue_category,year,power_code_code,value,mean_value
1033,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2019,600000,0.04333717207165356,0.04333717207165356
1034,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2020,600000,0.04333717207165356,0.04333717207165356
1035,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2021,600000,0.04333717207165356,0.04333717207165356
1036,Total tax revenues not including social security contributions,2004,600000,0.11566350249951368,0.2591168368262851
1037,Total tax revenues not including social security contributions,2005,600000,0.1333393873053607,0.2591168368262851
1038,Total tax revenues not including social security contributions,2006,600000,0.12053876683990158,0.2591168368262851
1039,Total tax revenues not including social security contributions,2007,600000,0.13517411086869663,0.2591168368262851
1040,Total tax revenues not including social security contributions,2008,600000,0.1544245917944343,0.2591168368262851
1041,Total tax revenues not including social security contributions,2009,600000,0.173108062900636,0.2591168368262851
1042,Total tax revenues not including social security contributions,2010,600000,0.18998759369113438,0.2591168368262851
1043,Total tax revenues not including social security contributions,2011,600000,0.2130764295633189,0.2591168368262851
1044,Total tax revenues not including social security contributions,2012,600000,0.22031919367493263,0.2591168368262851
1045,Total tax revenues not including social security contributions,2013,600000,0.26445459996029574,0.2591168368262851
1046,Total tax revenues not including social security contributions,2014,600000,0.30247971160957476,0.2591168368262851
1047,Total tax revenues not including social security contributions,2015,600000,0.3527606762513445,0.2591168368262851
1048,Total tax revenues not including social security contributions,2016,600000,0.34310909800983996,0.2591168368262851
1049,Total tax revenues not including social security contributions,2017,600000,0.3504878064635818,0.2591168368262851
1050,Total tax revenues not including social security contributions,2018,600000,0.40782257528169213,0.2591168368262851
1051,Total tax revenues not including social security contributions,2019,600000,0.4057624079340369,0.2591168368262851
1052,Total tax revenues not including social security contributions,2020,600000,0.4482122463919942,0.2591168368262851
1053,Total tax revenues not including social security contributions,2021,600000,0.42891487051883964,0.2591168368262851
1054,Total tax revenues not including social security contributions,2004,600000,0.11566350249951368,0.2591168368262851
1055,Total tax revenues not including social security contributions,2005,600000,0.11646608717219664,0.2591168368262851
1056,Total tax revenues not including social security contributions,2006,600000,0.12053876683990158,0.2591168368262851
1057,Total tax revenues not including social security contributions,2007,600000,0.13517411086869663,0.2591168368262851
1058,Total tax revenues not including social security contributions,2008,600000,0.1544245917944343,0.2591168368262851
1059,Total tax revenues not including social security contributions,2009,600000,0.173108062900636,0.2591168368262851
1060,Total tax revenues not including social security contributions,2010,600000,0.18998759369113438,0.2591168368262851
1061,Total tax revenues not including social security contributions,2011,600000,0.19381958796653043,0.2591168368262851
1062,Total tax revenues not including social security contributions,2012,600000,0.22031919367493263,0.2591168368262851
1063,Total tax revenues not including social security contributions,2013,600000,0.26445459996029574,0.2591168368262851
1064,Total tax revenues not including social security contributions,2014,600000,0.30247971160957476,0.2591168368262851
1065,Total tax revenues not including social security contributions,2015,600000,0.33698030142179997,0.2591168368262851
1066,Total tax revenues not including social security contributions,2016,600000,0.34310909800983996,0.2591168368262851
1067,Total tax revenues not including social security contributions,2017,600000,0.34812067673139513,0.2591168368262851
1068,Total tax revenues not including social security contributions,2018,600000,0.3728032007376777,0.2591168368262851
1069,Total tax revenues not including social security contributions,2019,600000,0.4057624079340369,0.2591168368262851
1070,Total tax revenues not including social security contributions,2020,600000,0.3819162921688237,0.2591168368262851
1071,Total tax revenues not including social security contributions,2021,600000,0.43469906075090914,0.2591168368262851
1072,Total non-tax revenue,2004,600000,0.1710966506966485,0.4092446308641116
1073,Total non-tax revenue,2005,600000,0.19209286579734158,0.4092446308641116
1074,Total non-tax revenue,2006,600000,0.25977680645308077,0.4092446308641116
1075,Total non-tax revenue,2007,600000,0.290333730208537,0.4092446308641116
1076,Total non-tax revenue,2008,600000,0.3463051351917627,0.4092446308641116
1077,Total non-tax revenue,2009,600000,0.35940751749309546,0.4092446308641116
1078,Total non-tax revenue,2010,600000,0.22249347306140793,0.4092446308641116
1079,Total non-tax revenue,2011,600000,0.23456254634863974,0.4092446308641116
1080,Total non-tax revenue,2012,600000,0.39500117262371176,0.4092446308641116
1081,Total non-tax revenue,2013,600000,0.4768519078762808,0.4092446308641116
1082,Total non-tax revenue,2014,600000,0.5019300536206569,0.4092446308641116
1083,Total non-tax revenue,2015,600000,0.49226853433037177,0.4092446308641116
1084,Total non-tax revenue,2016,600000,0.4162633157798147,0.4092446308641116
1085,Total non-tax revenue,2017,600000,0.40998880381880276,0.4092446308641116
1086,Total non-tax revenue,2018,600000,0.4779268212796449,0.4092446308641116
1087,Total non-tax revenue,2019,600000,0.4898382279330468,0.4092446308641116
1088,Total non-tax revenue,2020,600000,0.6358937867945067,0.4092446308641116
1089,Total non-tax revenue,2021,600000,0.6086381113207442,0.4092446308641116
1090,Total non-tax revenue,2004,600000,0.15697356071065496,0.4092446308641116
1091,Total non-tax revenue,2005,600000,0.19209286579734158,0.4092446308641116
1092,Total non-tax revenue,2006,600000,0.2833704955872844,0.4092446308641116
1093,Total non-tax revenue,2007,600000,0.290333730208537,0.4092446308641116
1094,Total non-tax revenue,2008,600000,0.3463051351917627,0.4092446308641116
1095,Total non-tax revenue,2009,600000,0.35940751749309546,0.4092446308641116
1096,Total non-tax revenue,2010,600000,0.32675807297669895,0.4092446308641116
1097,Total non-tax revenue,2011,600000,0.32235060798914283,0.4092446308641116
1098,Total non-tax revenue,2012,600000,0.4923290407137952,0.4092446308641116
1099,Total non-tax revenue,2013,600000,0.4768519078762808,0.4092446308641116
1100,Total non-tax revenue,2014,600000,0.44649440515974426,0.4092446308641116
1101,Total non-tax revenue,2015,600000,0.49226853433037177,0.4092446308641116
1102,Total non-tax revenue,2016,600000,0.4162633157798147,0.4092446308641116
1103,Total non-tax revenue,2017,600000,0.4827484799646362,0.4092446308641116
1104,Total non-tax revenue,2018,600000,0.4779268212796449,0.4092446308641116
1105,Total non-tax revenue,2019,600000,0.41065449404912213,0.4092446308641116
1106,Total non-tax revenue,2020,600000,0.5575175581023797,0.4092446308641116
1107,Total non-tax revenue,2021,600000,0.6086381113207442,0.4092446308641116
1108,Non-tax revenue: Grants,2004,600000,0.05329822296252253,0.09186967002796571
1109,Non-tax revenue: Grants,2005,600000,0.05444684414205698,0.09186967002796571
1110,Non-tax revenue: Grants,2006,600000,0.06184016413731648,0.09186967002796571
1111,Non-tax revenue: Grants,2007,600000,0.05803872308528549,0.09186967002796571
1112,Non-tax revenue: Grants,2008,600000,0.07181067602632077,0.09186967002796571
1113,Non-tax revenue: Grants,2009,600000,0.07153628707828677,0.09186967002796571
1114,Non-tax revenue: Grants,2010,600000,0.10862405983831291,0.09186967002796571
1115,Non-tax revenue: Grants,2011,600000,0.12143841175243986,0.09186967002796571
